trial_id,model,provider,condition,task_type,item_id,difficulty,temperature,extracted_answer,correct_answer,is_correct,answer_extracted,word_count,sentence_count,line_count,reasoning_steps,words_per_sentence,grounded_markers,bare_assertion_markers,specificity_ratio,n_violations,latency_seconds,output_tokens
d71932ae0e533eeb,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_01,easy,0.7,VALID,VALID,True,True,189,7,24,8,27.0,1,0,1.0,0,3.682,351
d3a312eaa6eefeb4,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_01,easy,0.7,VALID,VALID,True,True,178,4,25,8,44.5,1,0,1.0,0,3.758,343
6eabace7f2c8f383,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_01,easy,0.7,VALID,VALID,True,True,175,4,32,6,43.8,0,0,0.0,0,3.295,353
3b4671f10be70233,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_02,easy,0.7,INVALID,INVALID,True,True,213,11,23,1,19.4,1,0,1.0,0,3.376,354
7fc4caf0a0fce88a,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_02,easy,0.7,INVALID,INVALID,True,True,222,14,27,1,15.9,0,0,0.0,0,3.696,373
57361225e63924c5,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_02,easy,0.7,INVALID,INVALID,True,True,214,8,25,0,26.8,0,0,0.0,0,3.4,368
134bbacf4db17244,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_03,medium,0.7,VALID,VALID,True,True,211,13,22,8,16.2,0,0,0.0,0,2.832,360
413fb1780f3c3d37,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_03,medium,0.7,VALID,VALID,True,True,191,17,17,5,11.2,1,0,1.0,0,2.542,309
e62f865a399479f9,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_03,medium,0.7,VALID,VALID,True,True,175,11,23,10,15.9,0,0,0.0,0,2.451,316
6e672383b0465fad,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_04,medium,0.7,INVALID,INVALID,True,True,215,10,21,1,21.5,0,0,0.0,0,3.415,371
afa7c38e70e58fdf,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_04,medium,0.7,INVALID,INVALID,True,True,203,6,26,4,33.8,0,0,0.0,0,3.455,377
510e13d4c31fb621,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_04,medium,0.7,INVALID,INVALID,True,True,287,10,27,7,28.7,0,0,0.0,0,4.72,487
13eff04dcd718d51,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_05,medium,0.7,VALID,VALID,True,True,185,5,28,10,37.0,1,0,1.0,0,2.976,354
819cdf7a970fb1d8,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_05,medium,0.7,VALID,VALID,True,True,213,6,26,9,35.5,1,0,1.0,0,3.204,370
39bdb2424f2af7b9,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_05,medium,0.7,VALID,VALID,True,True,213,9,26,9,23.7,0,0,0.0,0,3.149,376
1e369630e8942839,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_06,hard,0.7,INVALID,INVALID,True,True,228,16,24,1,14.2,1,0,1.0,0,3.676,363
8f7c5b829dcc4446,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_06,hard,0.7,INVALID,INVALID,True,True,220,23,19,1,9.6,0,0,0.0,0,3.036,342
bf7c585b15b46ee8,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_06,hard,0.7,INVALID,INVALID,True,True,247,11,25,3,22.5,2,0,1.0,0,3.752,400
fd71dd37d174c1d0,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_07,hard,0.7,VALID,VALID,True,True,183,3,26,9,61.0,0,0,0.0,0,2.922,368
0388f22fc0dc9a6c,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_07,hard,0.7,VALID,VALID,True,True,181,5,25,15,36.2,1,0,1.0,0,2.949,358
b8433b9f35bca28f,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_07,hard,0.7,VALID,VALID,True,True,204,9,27,7,22.7,1,0,1.0,0,3.415,389
5b210547c50cfafa,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_08,hard,0.7,INVALID,INVALID,True,True,246,8,26,8,30.8,2,0,1.0,0,3.752,407
2e3f2b9fec0daab2,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_08,hard,0.7,INVALID,INVALID,True,True,230,18,22,4,12.8,1,0,1.0,0,3.154,369
26bbd94f39e18e7d,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_08,hard,0.7,INVALID,INVALID,True,True,232,9,25,4,25.8,2,0,1.0,0,3.975,380
a5cbb26f8af53bc6,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_09,hard,0.7,VALID,VALID,True,True,199,6,26,8,33.2,1,0,1.0,0,3.173,343
834db59bfb2d0cc7,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_09,hard,0.7,VALID,VALID,True,True,215,11,23,12,19.5,0,0,0.0,0,2.942,363
398e5420fed5ebca,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_09,hard,0.7,VALID,VALID,True,True,212,6,23,4,35.3,0,0,0.0,0,3.383,371
75337fd0763e5687,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_10,hard,0.7,INVALID,INVALID,True,True,213,7,23,1,30.4,1,0,1.0,0,3.229,367
0383101edde55068,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_10,hard,0.7,INVALID,INVALID,True,True,229,10,29,2,22.9,1,0,1.0,0,4.161,418
b4cc56d3c04d0c69,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_10,hard,0.7,INVALID,INVALID,True,True,215,11,26,6,19.5,1,0,1.0,0,4.173,422
63aa7931339db795,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_11,easy,0.7,VALID,VALID,True,True,194,5,23,5,38.8,1,0,1.0,0,2.674,335
46a0fd585e89eed5,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_11,easy,0.7,VALID,VALID,True,True,168,11,22,5,15.3,0,0,0.0,0,2.77,314
912b21899325650c,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_11,easy,0.7,VALID,VALID,True,True,182,3,27,5,60.7,0,0,0.0,0,3.3,358
681e5fb0a52bbecd,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_12,medium,0.7,VALID,VALID,True,True,237,16,24,9,14.8,0,0,0.0,0,3.056,367
6791fa9672ab898b,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_12,medium,0.7,VALID,VALID,True,True,202,16,22,14,12.6,1,0,1.0,0,3.565,379
9d642b4b0c88d9b1,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_12,medium,0.7,VALID,VALID,True,True,233,10,23,15,23.3,0,0,0.0,0,2.958,367
2868dc4d9dfad84d,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_13,hard,0.7,VALID,VALID,True,True,228,8,25,10,28.5,0,0,0.0,0,3.856,358
f552c92029484705,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_13,hard,0.7,VALID,VALID,True,True,181,8,24,7,22.6,0,0,0.0,0,3.217,314
554924df6cfc888a,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_13,hard,0.7,VALID,VALID,True,True,202,9,25,13,22.4,1,0,1.0,0,3.231,343
8962e6b0991af2f3,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_14,hard,0.7,VALID,VALID,True,True,246,11,26,7,22.4,1,0,1.0,0,4.188,446
db116c13698a0a72,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_14,hard,0.7,VALID,VALID,True,True,232,9,27,8,25.8,0,0,0.0,0,3.3,424
44b0e14b0db8d341,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_14,hard,0.7,VALID,VALID,True,True,226,3,27,8,75.3,1,0,1.0,0,3.748,458
df6ebd5ff7a035bc,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_15,medium,0.7,INVALID,INVALID,True,True,218,7,26,1,31.1,1,0,1.0,0,3.139,370
0042ad5372aa3fd8,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_15,medium,0.7,INVALID,INVALID,True,True,256,9,26,3,28.4,0,0,0.0,0,3.73,436
229fa501b4aea5d0,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_15,medium,0.7,INVALID,INVALID,True,True,228,8,27,2,28.5,1,0,1.0,0,3.37,399
f2c2c8320fbaf93f,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_16,hard,0.7,VALID,VALID,True,True,182,8,28,3,22.8,10,0,1.0,0,3.309,331
27630b640c7119ff,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_16,hard,0.7,VALID,VALID,True,True,268,12,32,6,22.3,9,0,1.0,0,4.122,469
f0a4325df4d5cce3,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_16,hard,0.7,VALID,VALID,True,True,214,7,27,8,30.6,10,0,1.0,0,2.989,362
94d764a05ee79c14,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_17,medium,0.7,VALID,VALID,True,True,201,5,25,7,40.2,1,0,1.0,0,3.778,381
4632d05fb6c18b67,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_17,medium,0.7,VALID,VALID,True,True,191,11,27,2,17.4,0,0,0.0,0,3.34,399
60c0183a91e93c05,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_17,medium,0.7,VALID,VALID,True,True,226,6,30,7,37.7,0,0,0.0,0,4.094,439
38d5a15daa6118f1,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_18,hard,0.7,VALID,VALID,True,True,198,9,24,5,22.0,2,0,1.0,0,3.088,385
caac070abd1ce18e,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_18,hard,0.7,VALID,VALID,True,True,207,5,26,8,41.4,2,0,1.0,0,3.232,374
b09920f04a442ce0,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_18,hard,0.7,VALID,VALID,True,True,231,4,31,8,57.8,2,0,1.0,0,4.063,435
81e95581ec2b1c74,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_19,medium,0.7,VALID,VALID,True,True,228,10,27,9,22.8,0,0,0.0,0,3.246,380
b04c4292850eb1bd,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_19,medium,0.7,VALID,VALID,True,True,214,12,21,8,17.8,0,0,0.0,0,5.41,355
8f15817f8325f9fc,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_19,medium,0.7,VALID,VALID,True,True,241,14,26,8,17.2,1,0,1.0,0,2.902,392
a413217ed3a2cd21,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_20,hard,0.7,VALID,VALID,True,True,282,10,31,8,28.2,1,0,1.0,0,4.445,487
55e777c53b6931c9,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_20,hard,0.7,VALID,VALID,True,True,208,7,29,11,29.7,2,0,1.0,0,3.217,361
2334a304aaffc66a,claude-haiku-4-5-20251001,anthropic,control,syllogisms,syl_20,hard,0.7,VALID,VALID,True,True,233,10,23,10,23.3,1,0,1.0,0,3.229,372
ea4d5b63e624fb0c,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_01,easy,0.7,B,B,True,True,271,8,37,0,33.9,2,0,1.0,0,4.835,447
f7a6f06dff998011,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_01,easy,0.7,B,B,True,True,236,6,33,0,39.3,2,0,1.0,0,4.521,420
8d5abbdfa6735109,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_01,easy,0.7,B,B,True,True,280,9,32,4,31.1,2,0,1.0,0,4.416,428
32ed075197f0d514,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_02,medium,0.7,B,A,False,True,286,7,33,0,40.9,0,0,0.0,0,5.813,481
f0860d2e4592ae61,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_02,medium,0.7,,A,,False,321,14,29,0,22.9,3,0,1.0,0,6.158,496
7c32360bb8d5097c,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_02,medium,0.7,A,A,True,True,327,16,31,6,20.4,5,0,1.0,0,6.628,540
aadd9c6879f0acd3,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_03,medium,0.7,A,A,True,True,223,7,25,3,31.9,2,0,1.0,0,4.545,391
562a5676d2d5f81b,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_03,medium,0.7,A,A,True,True,244,10,32,6,24.4,4,0,1.0,0,6.008,481
93045a1686506881,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_03,medium,0.7,A,A,True,True,224,12,24,2,18.7,3,0,1.0,0,5.17,409
099095e6a5b24b97,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_04,hard,0.7,B,B,True,True,288,5,38,2,57.6,2,0,1.0,0,5.595,514
c5449f17f7209818,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_04,hard,0.7,B,B,True,True,271,5,33,1,54.2,2,0,1.0,0,5.175,480
e32057a972b3e569,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_04,hard,0.7,B,B,True,True,305,9,41,2,33.9,2,0,1.0,0,6.101,547
7e5ea4a0395cbf31,claude-haiku-4-5-20251001,anthropic,control,causal_reasoning,cau_05,easy,0.7,B,B,True,True,228,13,27,1,17.5,5,0,1.0,0,4.236,355
